pdes,full_name,a,e,i,om,w,q,ad,per_y,condition_code,class,H,H_sigma,G,diameter,diameter_sigma,extent,albedo,rot_per,spec_B,spec_T
90,"    90 Antiope (A866 TA)",3.148725610415441,.1664995144925148,2.206751712551211,69.96053962415733,244.9419893952083,2.624464325011123,3.672986895819759,5.58740853758476,0,MBA,8.1,,,115.974,1.107,,0.058,16.509,C,C
91,"    91 Aegina (A866 VA)",2.589529372879112,.1063828757042159,2.10320690033033,10.44299569157043,74.27179985083983,2.314047791471697,2.865010954286527,4.16715317673629,0,MBA,8.9,,,103.402,0.483,,0.048,6.025,Ch,CP
92,"    92 Undina (A867 NA)",3.185178899886448,.1048626466207244,9.932022155485502,101.580316596767,239.0702970867808,2.851172610483868,3.519185189289028,5.68471828476422,0,MBA,6.7,,,126.42,3.4,,0.2509,15.941,Xc,X
93,"    93 Minerva (A867 QA)",2.756376883700474,.1390662322416344,8.556424221457043,4.030976073456722,274.9405839566488,2.373057935846311,3.139695831554637,4.57631700613377,0,MBA,7.9,,,154.155,1.298,,0.056,5.982,C,CU
94,"    94 Aurora (A867 RA)",3.157818067599943,.09427348808102752,7.969381168112063,2.565352380464117,60.34317343018009,2.860119543642007,3.455516591557879,5.61162782686381,0,MBA,7.6,,,204.89,3.6,,0.0395,7.22,C,CP
95,"    95 Arethusa (A867 WA)",3.064051147109587,.1527887291620676,12.99563182108477,243.019902043637,153.7846519863108,2.595898666255138,3.532203627964036,5.36354857392274,0,MBA,8.0,,,147.969,5.148,,0.058,8.705,Ch,C
96,"    96 Aegle (A868 DA)",3.048360536274346,.1411779454602782,15.98222402401744,321.4899514134879,208.4618429547608,2.617999258740942,3.478721813807749,5.32240230181534,0,MBA,7.7,,,177.774,1.543,,0.048,13.868,T,T
97,"    97 Klotho (A868 DB)",2.66902055896792,.2572984091370166,11.77759152504811,159.6173772837102,268.67314656,1.982285815191483,3.355755302744357,4.36049789223697,0,MBA,7.8,,,100.717,0.641,,0.128,35.15,,M
98,"    98 Ianthe (A868 HA)",2.686496958254287,.187233048409749,15.5768478279683,353.9043873879921,158.6319336180105,2.183495943216818,3.189497973291755,4.40339588300588,0,MBA,8.9,,,132.788,1.132,,0.029,16.479,Ch,CG
99,"    99 Dike (A868 KA)",2.664873396932893,.1949610491646544,13.84752111253251,41.51414405881997,195.7124947401775,2.14532688357588,3.184419910289907,4.35033873586173,0,MBA,9.5,,,67.354,0.416,,0.065,18.127,Xk,C
